Manufacturer,Model,Body Type,Seat,Variant,Variant Title,Fuel,Type,City,Offer Price,Original Price
Maruti Suzuki,Ciaz,Sedan,5 Seater,1/8 variants,1.5 Sigma MT,Petrol,Manual,in Bangalore,₹11.12 L,₹11.19 L
Maruti Suzuki,Ignis,Hatchback,5 Seater,1/7 variants,1.2 Sigma MT,Petrol,Manual,in Bangalore,₹6.51 L,₹6.82 L
Hyundai,i20 N Line,Hatchback,5 Seater,1/3 variants,1.0 N8 iMT,Petrol,Manual,in Bangalore,₹13.61 L,₹14.04 L
Hyundai,Alcazar,SUV,7 Seater,1/12 variants,1.5 Platinum 7 STR Diesel,Diesel,Manual,in Bangalore,₹23.41 L,₹24.01 L
Honda,Amaze,Sedan,5 Seater,1/5 variants,1.2 VX CVT Petrol,Petrol,Automatic,in Bangalore,₹11.19 L,₹11.50 L
Mahindra,XUV300,SUV,5 Seater,1/15 variants,1.2 W4,Petrol,Manual,in Bangalore,₹9.92 L,₹10.25 L
Mahindra,Marazzo,MPV/MUV,8 Seater,1/5 variants,M2,Diesel,Manual,in Bangalore,₹15.87 L,₹17.19 L
Mahindra,Bolero,SUV,7 Seater,1/3 variants,B4,Diesel,Manual,in Bangalore,₹11.35 L,₹11.59 L
Maruti Suzuki,Celerio,Hatchback,5 Seater,1/8 variants,VXi,Petrol,Manual,in Bangalore,₹6.82 L,₹7.12 L
Maruti Suzuki,Brezza,SUV,5 Seater,1/6 variants,VXi,Petrol,Manual,in Bangalore,₹11.48 L,₹11.62 L
Tata,Nexon EV Prime,SUV,5 Seater,1/6 variants,XZ Plus,Electric,Automatic,in Bangalore,₹16.62 L,₹17.18 L
Maruti Suzuki,S-Presso,SUV,5 Seater,1/5 variants,1.0 VXi Plus,Petrol,Manual,in Bangalore,₹6.39 L,₹6.74 L
Mahindra,Scorpio-N,SUV,7 Seater,1/30 variants,2.0 Z8L Petrol 6STR,Petrol,Manual,in Bangalore,₹24.17 L,₹24.86 L
Maruti Suzuki,Alto K10,Hatchback,5 Seater,1/6 variants,VXi,Petrol,Manual,in Bangalore,₹5.90 L,₹6.20 L
Tata,Nexon EV Max,SUV,5 Seater,1/6 variants,XZ Plus 7.2 KW FC,Electric,Automatic,in Bangalore,₹18.66 L,₹19.29 L
Maruti Suzuki,XL6,SUV,6 Seater,1/7 variants,Zeta,Petrol,Manual,in Bangalore,₹14.15 L,₹14.33 L
