Manufacturer,Model,Body Type,Seat,Variant,Variant Title,Fuel,Type,City,Offer Price,Original Price
Tata,Nexon,SUV,5 Seater,1/46 variants,1.2 XE,Petrol,Manual,in Bangalore,₹9.24 L,₹9.53 L
Maruti Suzuki,Baleno,Hatchback,5 Seater,1/9 variants,1.2 Sigma,Petrol,Manual,in Bangalore,₹7.92 L,₹8.03 L
Tata,Punch,SUV,5 Seater,1/22 variants,Pure Rhythm,Petrol,Manual,in Bangalore,₹7.55 L,₹7.79 L
Hyundai,Grand i10 Nios,Hatchback,5 Seater,1/9 variants,1.2 Era,Petrol,Manual,in Bangalore,₹6.62 L,₹7.00 L
Hyundai,Aura,Sedan,5 Seater,1/7 variants,1.2 S,Petrol,Manual,in Bangalore,₹8.40 L,₹8.76 L
Maruti Suzuki,Wagon R,Hatchback,5 Seater,1/9 variants,1.0 LXi,Petrol,Manual,in Bangalore,₹6.43 L,₹6.75 L
Hyundai,New i20,Hatchback,5 Seater,1/9 variants,1.2 Magna Kappa,Petrol,Manual,in Bangalore,₹8.42 L,₹8.81 L
Maruti Suzuki,Swift,Hatchback,5 Seater,1/7 variants,LXi,Petrol,Manual,in Bangalore,₹7.13 L,₹7.35 L
Tata,Tigor,Sedan,5 Seater,1/11 variants,XZ Plus CNG,CNG,Manual,in Bangalore,₹10.19 L,₹10.61 L
Tata,Altroz,Hatchback,5 Seater,1/25 variants,1.2 XZ (O) i-Turbo,Petrol,Manual,in Bangalore,₹10.54 L,₹10.97 L
Hyundai,Venue,SUV,5 Seater,1/11 variants,1.2 E,Petrol,Manual,in Bangalore,₹9.10 L,₹9.39 L
Toyota,Glanza,Hatchback,5 Seater,1/9 variants,E,Petrol,Manual,in Bangalore,₹7.92 L,₹8.07 L
Tata,Tiago,Hatchback,5 Seater,1/11 variants,XT(O),Petrol,Manual,in Bangalore,₹7.05 L,₹7.37 L
Hyundai,Creta,SUV,5 Seater,1/18 variants,1.5 S Plus Petrol Knight,Petrol,Manual,in Bangalore,₹16.98 L,₹17.51 L
Maruti Suzuki,Dzire,Sedan,5 Seater,1/9 variants,LXi,Petrol,Manual,in Bangalore,₹7.78 L,₹7.90 L
Maruti Suzuki,Alto,Hatchback,5 Seater,1/4 variants,VXi,Petrol,Manual,in Bangalore,₹5.16 L,₹5.41 L
