Manufacturer,Model,Body Type,Seat,Variant,Variant Title,Fuel,Type,City,Offer Price,Original Price
Tata,Nexon,SUV,5 Seater,1/46 variants,1.2 XE,Petrol,Manual,in Bangalore,₹9.24 L,₹9.53 L
Maruti Suzuki,Baleno,Hatchback,5 Seater,1/9 variants,1.2 Sigma,Petrol,Manual,in Bangalore,₹7.92 L,₹8.03 L
Tata,Punch,SUV,5 Seater,1/22 variants,Pure Rhythm,Petrol,Manual,in Bangalore,₹7.55 L,₹7.79 L
Hyundai,Grand i10 Nios,Hatchback,5 Seater,1/9 variants,1.2 Era,Petrol,Manual,in Bangalore,₹6.62 L,₹7.00 L
Hyundai,Aura,Sedan,5 Seater,1/7 variants,1.2 S,Petrol,Manual,in Bangalore,₹8.40 L,₹8.76 L
Maruti Suzuki,Wagon R,Hatchback,5 Seater,1/9 variants,1.0 LXi,Petrol,Manual,in Bangalore,₹6.43 L,₹6.75 L
Hyundai,New i20,Hatchback,5 Seater,1/9 variants,1.2 Magna Kappa,Petrol,Manual,in Bangalore,₹8.42 L,₹8.81 L
Maruti Suzuki,Swift,Hatchback,5 Seater,1/7 variants,LXi,Petrol,Manual,in Bangalore,₹7.13 L,₹7.35 L
Tata,Tigor,Sedan,5 Seater,1/11 variants,XZ Plus CNG,CNG,Manual,in Bangalore,₹10.19 L,₹10.61 L
Tata,Altroz,Hatchback,5 Seater,1/25 variants,1.2 XZ (O) i-Turbo,Petrol,Manual,in Bangalore,₹10.54 L,₹10.97 L
Hyundai,Venue,SUV,5 Seater,1/11 variants,1.2 E,Petrol,Manual,in Bangalore,₹9.10 L,₹9.39 L
Toyota,Glanza,Hatchback,5 Seater,1/9 variants,E,Petrol,Manual,in Bangalore,₹7.92 L,₹8.07 L
Tata,Tiago,Hatchback,5 Seater,1/11 variants,XT(O),Petrol,Manual,in Bangalore,₹7.05 L,₹7.37 L
Hyundai,Creta,SUV,5 Seater,1/18 variants,1.5 S Plus Petrol Knight,Petrol,Manual,in Bangalore,₹16.98 L,₹17.51 L
Maruti Suzuki,Dzire,Sedan,5 Seater,1/9 variants,LXi,Petrol,Manual,in Bangalore,₹7.78 L,₹7.90 L
Maruti Suzuki,Alto,Hatchback,5 Seater,1/4 variants,VXi,Petrol,Manual,in Bangalore,₹5.16 L,₹5.41 L
Maruti Suzuki,Ciaz,Sedan,5 Seater,1/8 variants,1.5 Sigma MT,Petrol,Manual,in Bangalore,₹11.12 L,₹11.19 L
Maruti Suzuki,Ignis,Hatchback,5 Seater,1/7 variants,1.2 Sigma MT,Petrol,Manual,in Bangalore,₹6.51 L,₹6.82 L
Hyundai,i20 N Line,Hatchback,5 Seater,1/3 variants,1.0 N8 iMT,Petrol,Manual,in Bangalore,₹13.61 L,₹14.04 L
Hyundai,Alcazar,SUV,7 Seater,1/12 variants,1.5 Platinum 7 STR Diesel,Diesel,Manual,in Bangalore,₹23.41 L,₹24.01 L
Honda,Amaze,Sedan,5 Seater,1/5 variants,1.2 VX CVT Petrol,Petrol,Automatic,in Bangalore,₹11.19 L,₹11.50 L
Mahindra,XUV300,SUV,5 Seater,1/15 variants,1.2 W4,Petrol,Manual,in Bangalore,₹9.92 L,₹10.25 L
Mahindra,Marazzo,MPV/MUV,8 Seater,1/5 variants,M2,Diesel,Manual,in Bangalore,₹15.87 L,₹17.19 L
Mahindra,Bolero,SUV,7 Seater,1/3 variants,B4,Diesel,Manual,in Bangalore,₹11.35 L,₹11.59 L
Maruti Suzuki,Celerio,Hatchback,5 Seater,1/8 variants,VXi,Petrol,Manual,in Bangalore,₹6.82 L,₹7.12 L
Maruti Suzuki,Brezza,SUV,5 Seater,1/6 variants,VXi,Petrol,Manual,in Bangalore,₹11.48 L,₹11.62 L
Tata,Nexon EV Prime,SUV,5 Seater,1/6 variants,XZ Plus,Electric,Automatic,in Bangalore,₹16.62 L,₹17.18 L
Maruti Suzuki,S-Presso,SUV,5 Seater,1/5 variants,1.0 VXi Plus,Petrol,Manual,in Bangalore,₹6.39 L,₹6.74 L
Mahindra,Scorpio-N,SUV,7 Seater,1/30 variants,2.0 Z8L Petrol 6STR,Petrol,Manual,in Bangalore,₹24.17 L,₹24.86 L
Maruti Suzuki,Alto K10,Hatchback,5 Seater,1/6 variants,VXi,Petrol,Manual,in Bangalore,₹5.90 L,₹6.20 L
Tata,Nexon EV Max,SUV,5 Seater,1/6 variants,XZ Plus 7.2 KW FC,Electric,Automatic,in Bangalore,₹18.66 L,₹19.29 L
Maruti Suzuki,XL6,SUV,6 Seater,1/7 variants,Zeta,Petrol,Manual,in Bangalore,₹14.15 L,₹14.33 L
Maruti Suzuki,Ertiga,SUV,7 Seater,1/9 variants,LXi(O),Petrol,Manual,in Bangalore,₹10.21 L,₹10.35 L
Hyundai,Venue N-Line,SUV,5 Seater,1/2 variants,N6 DCT,Petrol,Automatic,in Bangalore,₹15.32 L,₹15.78 L
Maruti Suzuki,New Grand Vitara,SUV,5 Seater,1/12 variants,Zeta Plus CVT,Petrol,Automatic,in Bangalore,₹22.22 L,₹22.47 L
Toyota,Urban Cruiser Hyryder,SUV,5 Seater,1/13 variants,Neodrive S AT,Petrol,Automatic,in Bangalore,₹16.47 L,₹16.73 L
Tata,Tiago NRG,Hatchback,5 Seater,1/5 variants,1.2 XT,Petrol,Manual,in Bangalore,₹7.87 L,₹8.12 L
Skoda,Kushaq,SUV,5 Seater,1/17 variants,1.0 Active TSI,Petrol,Manual,in Bangalore,₹13.76 L,₹14.34 L
Skoda,Slavia,Sedan,5 Seater,1/8 variants,1.0 Active TSI,Petrol,Manual,in Bangalore,₹13.55 L,₹13.97 L
Skoda,Superb,Sedan,5 Seater,1/2 variants,2.0 Sportline TSI AT,Petrol,Automatic,in Bangalore,₹40.84 L,₹41.09 L
Hyundai,Tucson,SUV,5 Seater,1/5 variants,2.0 Platinum AT Petrol,Petrol,Automatic,in Bangalore,₹35.81 L,₹36.17 L
Tata,Tiago EV,Hatchback,5 Seater,1/7 variants,XE Medium,Electric,Automatic,in Bangalore,₹8.91 L,₹9.39 L
Skoda,Kodiaq,SUV,7 Seater,1/3 variants,Style,Petrol,Automatic,in Bangalore,₹46.01 L,₹47.11 L
OLA Electric,S1,Convertible,2 Seater,1 variant,S1,Electric,Automatic,in Bangalore,₹1.10 L,₹1.10 L
Maruti Suzuki,Eeco,Minivan/Van,5 Seater,1/4 variants,5 STR STD,Petrol,Manual,in Bangalore,₹6.21 L,₹6.36 L
OLA Electric,S1 Pro,Convertible,2 Seater,1 variant,S1 Pro,Electric,Automatic,in Bangalore,₹1.39 L,₹1.39 L
Tata,Tigor EV,Convertible,5 Seater,1/3 variants,XE,Electric,Automatic,in Bangalore,₹12.87 L,₹13.30 L
Mahindra,Scorpio Classic,SUV,7 Seater,1/3 variants,2.2 S 7STR,Diesel,Manual,in Bangalore,₹15.70 L,₹16.04 L
